year,month,day,31N,32N,33N,34N,35N,36N,37N,38N,39N,40N,41N,42N,43N,44N,45N,46N,47N
1988,2,8,0.176,-0.014,0.058,0.605,0.948,1.318,0.754,0.765,1.052,0.768,0.109,0.153,-0.111,-0.14,-0.412,-0.369,-0.569
1988,2,9,0.118,-0.085,-0.054,0.617,1.043,1.692,0.896,0.9,1.223,0.708,0.072,0.351,0.011,-0.009,-0.081,0.137,-0.134
1988,2,10,0.011,-0.101,-0.11,0.447,0.437,1.14,0.438,0.772,1.94,1.293,0.383,0.64,-0.034,0.012,0.114,0.117,-0.109
1988,2,11,0.026,0.191,-0.092,-0.326,-0.491,0.073,-0.249,-0.066,0.733,0.979,0.613,1.297,0.702,0.382,0.539,0.39,0.087
1988,2,12,-0.075,0.144,0.205,-0.125,-0.518,0.104,-0.34,-0.081,0.207,0.45,0.255,0.703,0.157,-0.051,-0.117,0.01,-0.04
1988,2,13,0.129,0.093,0.158,0.683,0.541,1.55,0.99,1.336,2.035,1.656,1.208,1.087,0.352,0.002,0.194,0.085,0.365
1988,2,14,0.184,0.376,0.267,0.48,-0.114,0.874,0.673,0.924,1.36,1.707,1.02,0.972,0.454,0.165,-0.094,-0.331,-0.858
1988,2,15,0.027,0.041,0.212,0.209,0.007,0.851,0.85,1.193,1.891,2.071,1.497,1.311,0.678,0.177,0.286,0.238,0.497
1988,2,16,0.072,0.154,0.099,0.47,0.762,1.623,1.42,2.016,3.225,3.417,2.892,2.634,1.545,0.417,0.577,0.231,0.115
1988,2,17,0.204,0.519,0.667,-0.09,0.139,0.418,0.256,0.368,0.823,1.081,0.846,0.889,0.499,-0.051,0.233,0.027,0.017
1988,2,18,0.476,0.568,0.987,1.531,2.174,3.146,2.247,2.492,3.402,3.267,3.065,2.692,1.732,0.466,0.532,0.059,0.305
1988,2,19,0.474,0.7,0.743,-0.164,-0.094,0.284,-0.026,0.002,0.826,1.326,1.747,2.459,2.213,0.86,1.057,0.359,0.16
